IMG,X,Y,X_Pixel,Y_Pixel
1,2.14E-05,1.14798053,78,344
2,0.016602325,0.154877518,342,337
3,0.709192134,0.820148373,177,165
4,0.088868128,-0.310136197,455,323
5,0.732293428,-0.345897988,457,158
6,0.841208204,0.707564069,198,133
7,1.060131061,0.084607944,352,76
8,0.244500663,0.096618544,352,278
9,-0.296548445,0.844952606,165,420
10,0.142493429,-0.72804432,560,316
11,-0.286368483,-0.512186471,502,417
12,0.990808274,0.977115314,135,99
13,-0.225259232,-0.110170468,403,403
14,1.000121501,-0.468038928,493,100
15,-0.168751894,0.819308136,167,386
